ID,customerId,status,customerLatitude,customerLongitude
312ebbb3-1ba8-49a8-964c-b378af925858,CUST001,open,16.5062,80.6480
e4ace997-494a-4763-a601-b1e86c2cf374,CUST002,open,16.5200,80.6300
e9273d45-1d3b-490b-88fb-c74af36d3076,CUST003,open,16.4800,80.6200
7c12edc6-c6f0-4502-9276-c85454028d61,CUST004,open,16.4950,80.6550
1847964a-0cbb-4e53-a5cc-15a2e33eae39,CUST005,open,16.5300,80.6100
80f9f6e5-21cb-499b-b203-ac077c0fa793,CUST006,open,16.4700,80.6400
14d933e4-f745-45d5-8514-8d3f9bd3340b,CUST007,open,16.5150,80.6700
126ed5f4-8947-489f-ae16-cc38fd92a0f8,CUST008,open,16.4550,80.6250
c11b8f7a-d779-496d-8dd8-00ff5a0c7500,CUST009,open,16.5400,80.6500
a8e743fc-be02-4708-aea5-81d74ea5c113,CUST010,open,16.4900,80.6000
14e0b169-195e-4e4c-bfec-2c5a27494bef,CUST011,open,16.5250,80.6800
8b79ee92-2a44-40d8-8447-d95f18abed57,CUST012,open,16.4600,80.6550
b39bf1cc-d92e-49e1-ac50-33fb92cfa5c5,CUST013,open,16.5050,80.6150
398fe070-9622-40d4-bbf2-90f7366c3420,CUST014,open,16.5500,80.6350
3427ecf5-32d4-409c-a318-6fc5644c725a,CUST015,allocated,16.4750,80.6750
5d8a3ad7-4fe1-4500-a70a-8272682633e5,CUST016,allocated,16.4450,80.6050
b211034f-64e4-4029-bd44-d7a5ce79e254,CUST017,allocated,16.5350,80.6650
0cc0aa7d-a4c4-4b3f-9370-81891ef7d20e,CUST018,completed,16.4850,80.6850
927b5630-126d-45d8-bfdb-cff3c8d34a3a,CUST019,completed,16.5150,80.5950
487dc5c4-45e0-4f85-b733-2c15153dc010,CUST020,cancelled,16.4550,80.6700
