ID,warehouse_ID,productId,availableStock
fd510c8c-8941-4316-abea-9695154af927,8688027a-e5b5-4941-b03b-d687f7496d3b,P001,118
1954c0b9-06cd-420a-8af0-bc592c676255,8688027a-e5b5-4941-b03b-d687f7496d3b,P004,97
71c4ce46-af60-475a-b2da-4cab7132774f,8688027a-e5b5-4941-b03b-d687f7496d3b,P007,81
92a4b3d8-4161-4a66-89a9-902743b2bb67,c8697f92-5959-4068-94a9-d36d05e8c708,P002,49
a0ce4cf3-ed3d-47c5-9958-72cb06b7f183,c8697f92-5959-4068-94a9-d36d05e8c708,P005,65
8863a404-b337-44f5-b9ed-d067c67b50ad,c8697f92-5959-4068-94a9-d36d05e8c708,P008,96
a0055b03-7b61-4f79-b398-f9ae060cd6a9,a7755d0b-5a62-4c2f-9098-df368506a2e1,P003,36
5f98d88a-db47-46f5-a490-2186cf6204fd,a7755d0b-5a62-4c2f-9098-df368506a2e1,P006,33
334cd0d8-61f7-4937-aa99-6c5ceed11e31,a7755d0b-5a62-4c2f-9098-df368506a2e1,P009,107
b76ff621-dcc7-4c51-87d3-a506ccbb3279,0e24aeb6-27e2-42af-8cc1-609af751412b,P004,34
07cb9990-c353-46e4-8aba-e1df894a0dbb,0e24aeb6-27e2-42af-8cc1-609af751412b,P007,101
50317dcc-fb1f-4bf3-9443-508c57a1e85d,0e24aeb6-27e2-42af-8cc1-609af751412b,P010,98
ee9dfb76-19f5-4c87-af89-e3caa6dae1f0,de6f935d-111e-44f1-81fb-f81c2686261d,P005,77
eed37cc2-c17d-4c1f-b56f-de88c1c2746e,de6f935d-111e-44f1-81fb-f81c2686261d,P008,21
8bebe28b-7495-4e30-8c99-178891793071,de6f935d-111e-44f1-81fb-f81c2686261d,P001,127
2092962e-752c-4946-8ece-d2366f103a8e,52ca0b5e-db76-42c2-b2d0-e6abce8f2780,P006,147
523c6359-8db7-4bd7-a432-1599cd36839e,52ca0b5e-db76-42c2-b2d0-e6abce8f2780,P009,41
41b50659-e037-4ab3-9099-d02aa04b7548,52ca0b5e-db76-42c2-b2d0-e6abce8f2780,P002,106
7c913f44-00b0-4589-a5bc-c6074a51249e,fa8532d7-ffa4-49d7-a17e-432b59bd70cb,P007,30
05ac548e-67cf-474c-b070-7432cb4cae8b,fa8532d7-ffa4-49d7-a17e-432b59bd70cb,P010,85
92d1999f-4aac-45e7-8895-fa71a00efb05,fa8532d7-ffa4-49d7-a17e-432b59bd70cb,P003,102
a4964249-a587-4e28-b44e-57965d7d3f49,6385eab0-51d8-451c-b556-3243861cdf83,P008,59
dbbfe593-4260-4a26-9a77-1cdc9f7cf508,6385eab0-51d8-451c-b556-3243861cdf83,P001,27
d1db9d67-4d85-4681-be69-1d2630ff7488,6385eab0-51d8-451c-b556-3243861cdf83,P004,21
5ba7b665-2d22-40e5-8d47-1ac49c5061d0,e1c6b88e-e620-48e3-a2b9-92fd26584b73,P009,68
0d1bfa6e-4695-4152-9781-8e7604d67b11,e1c6b88e-e620-48e3-a2b9-92fd26584b73,P002,84
5aa55140-6273-4ad7-9dea-8e849a710775,e1c6b88e-e620-48e3-a2b9-92fd26584b73,P005,30
8a45a2a5-67af-4a66-b6c2-178828873164,03fe2796-feb6-4d84-afb3-29486e2892b5,P010,69
531c60c9-d062-47a9-af4f-c960c312bddb,03fe2796-feb6-4d84-afb3-29486e2892b5,P003,35
43de2f66-9e64-4fc7-92af-84922a0eeef5,03fe2796-feb6-4d84-afb3-29486e2892b5,P006,107
d90da29b-54af-42c2-97e3-41629f7b850d,9068ec46-6ea7-4180-9156-20ec00b3dbd6,P001,81
e25b6e2d-6e65-46f4-9555-819a280f4214,9068ec46-6ea7-4180-9156-20ec00b3dbd6,P004,126
ada2c26d-27fb-4913-b50e-28e61bf11d1b,9068ec46-6ea7-4180-9156-20ec00b3dbd6,P007,103
fde555f2-93c7-4491-a587-5beb92efeefa,89d47c26-ca2c-49d9-b3d2-ceb87059d5d4,P002,51
3801735c-932f-4897-a6b4-a0828074008e,89d47c26-ca2c-49d9-b3d2-ceb87059d5d4,P005,104
337a9123-f95f-469a-93ee-887f22ae3a6f,89d47c26-ca2c-49d9-b3d2-ceb87059d5d4,P008,100
e5c15eb7-f46a-45f3-bf9d-1aad20aa5a77,62318098-da8e-4f25-b349-7c7786b43de0,P003,63
4f0056ed-c0c7-4a4c-8676-25e02db9f66e,62318098-da8e-4f25-b349-7c7786b43de0,P006,78
ee846218-78b6-4e78-bb95-482efd89409e,62318098-da8e-4f25-b349-7c7786b43de0,P009,28
96a5356c-e811-41aa-ac95-9d38d792d952,c9af8896-d02f-413a-a5c3-ca7b56ae8239,P004,53
2f5aba70-46df-4ee5-bd59-810048d82577,c9af8896-d02f-413a-a5c3-ca7b56ae8239,P007,146
12668f09-ed08-4fe3-be3e-447912060f19,c9af8896-d02f-413a-a5c3-ca7b56ae8239,P010,72
219489cf-ecab-4791-969e-85b52b7b413b,2f3ef462-3202-4683-95cf-c42a8bcf3795,P005,51
aadaf5c7-e1ae-42d4-8aa8-9f4de639264f,2f3ef462-3202-4683-95cf-c42a8bcf3795,P008,128
202d91f9-740b-4402-a3fe-b185812d2046,2f3ef462-3202-4683-95cf-c42a8bcf3795,P001,107
55b39b53-3c8e-4801-98b3-c6fd4964b0af,f3857d1e-1890-4558-88ad-baf36a7c9c5e,P006,79
b6c3b2a2-d9d5-4e6c-b447-92ad9862607f,f3857d1e-1890-4558-88ad-baf36a7c9c5e,P009,66
d4f5c621-02f3-467a-b6f2-1acc4313a682,f3857d1e-1890-4558-88ad-baf36a7c9c5e,P002,93
