ID,salesOrder_ID,productId,quantity
62faf647-9bfc-49ab-8ef7-7e4f69918929,312ebbb3-1ba8-49a8-964c-b378af925858,P001,25
6ef8bce6-922d-4f4e-96bb-df177596dd69,312ebbb3-1ba8-49a8-964c-b378af925858,P002,8
d6aaa0f2-dd81-42e3-87bd-b0e85e182e64,e4ace997-494a-4763-a601-b1e86c2cf374,P003,5
5be55416-af38-4f72-8ff5-6a7ee97c16d1,e4ace997-494a-4763-a601-b1e86c2cf374,P004,28
506dac52-57d7-41a7-a62e-7955033e6deb,e9273d45-1d3b-490b-88fb-c74af36d3076,P005,13
120f9fc5-8603-4933-ae2e-ab373b5441ba,e9273d45-1d3b-490b-88fb-c74af36d3076,P006,12
855dbdd7-e279-4684-ad58-1a98c92a6d9c,7c12edc6-c6f0-4502-9276-c85454028d61,P007,12
938f0b65-da84-4610-9153-98c849336553,7c12edc6-c6f0-4502-9276-c85454028d61,P008,9
2c6c8b55-a60f-49b2-a7c4-cfd77cb097ac,1847964a-0cbb-4e53-a5cc-15a2e33eae39,P009,28
50d4063e-d2c5-42ed-8cc4-3bc6e1b5ef61,1847964a-0cbb-4e53-a5cc-15a2e33eae39,P010,8
997a8f6b-c774-4e8c-b05f-a8023da465f1,80f9f6e5-21cb-499b-b203-ac077c0fa793,P001,26
e54dd04a-08b8-49cb-b099-d992fcad12ff,80f9f6e5-21cb-499b-b203-ac077c0fa793,P002,28
54c3fdb3-355d-4155-b2d1-600d4b6344ac,14d933e4-f745-45d5-8514-8d3f9bd3340b,P003,22
459dc02d-96d2-4249-bd9b-26a1923c383f,14d933e4-f745-45d5-8514-8d3f9bd3340b,P004,7
d7711a6b-6b79-4103-b60e-5ce5cf5d34bb,126ed5f4-8947-489f-ae16-cc38fd92a0f8,P005,23
eca505fa-8626-46e9-85e0-e2a85d291e6a,126ed5f4-8947-489f-ae16-cc38fd92a0f8,P006,18
40f450f1-f266-43e0-89c9-a3b834ab5e29,c11b8f7a-d779-496d-8dd8-00ff5a0c7500,P007,6
a45a9494-949a-4cde-a9f3-2d44b3ec732d,c11b8f7a-d779-496d-8dd8-00ff5a0c7500,P008,5
9ffd0f3d-6e90-46d8-bd21-6a95df20c800,a8e743fc-be02-4708-aea5-81d74ea5c113,P009,7
5358a98e-ac5c-482e-91fb-8f0e5651f8d6,a8e743fc-be02-4708-aea5-81d74ea5c113,P010,11
75d6873d-d500-440b-b1ac-f1cc8310ef8b,14e0b169-195e-4e4c-bfec-2c5a27494bef,P001,12
4c987837-e2bf-43d3-b401-fd655f51a5e0,14e0b169-195e-4e4c-bfec-2c5a27494bef,P002,21
fd7cd2e1-74b2-492d-957b-a694ea77df0c,8b79ee92-2a44-40d8-8447-d95f18abed57,P003,24
660f7b0b-ba9f-4198-9e75-e78b4562e14f,8b79ee92-2a44-40d8-8447-d95f18abed57,P004,5
80df22b6-97c4-4725-a972-40ae7aca3774,b39bf1cc-d92e-49e1-ac50-33fb92cfa5c5,P005,22
1790f5ad-0ece-45fb-be29-b71f4f0ef9f5,b39bf1cc-d92e-49e1-ac50-33fb92cfa5c5,P006,11
bf59cbb0-e9e5-4ad0-8463-2f943c2870ee,398fe070-9622-40d4-bbf2-90f7366c3420,P007,27
3f581d59-097e-4166-9900-938a6f6ae70c,398fe070-9622-40d4-bbf2-90f7366c3420,P008,25
0aef4986-a8f8-47df-b620-7706372e1106,3427ecf5-32d4-409c-a318-6fc5644c725a,P009,27
1f9bede3-3776-424e-9c2e-27141e019fa9,3427ecf5-32d4-409c-a318-6fc5644c725a,P010,22
43c363e5-49b4-4806-9ab2-a0e134ccb4b1,5d8a3ad7-4fe1-4500-a70a-8272682633e5,P001,18
0b8a8262-a1c1-490a-9807-4d35e8268f50,5d8a3ad7-4fe1-4500-a70a-8272682633e5,P002,12
ca6046cb-e77d-4886-8082-11c3a8deb10d,b211034f-64e4-4029-bd44-d7a5ce79e254,P003,19
8a8241dc-efe9-4013-87d0-6df9d69184e3,b211034f-64e4-4029-bd44-d7a5ce79e254,P004,23
58b58bef-928b-4c38-b1c7-df5952978c6d,0cc0aa7d-a4c4-4b3f-9370-81891ef7d20e,P005,13
2f7482b7-2ff3-46ff-a170-1b983ee88a1a,0cc0aa7d-a4c4-4b3f-9370-81891ef7d20e,P006,30
ae6f3d85-6dc8-486f-8e68-86232e4ae602,927b5630-126d-45d8-bfdb-cff3c8d34a3a,P007,5
56b3c0ae-1479-4c15-9333-6f91aaaa3eea,927b5630-126d-45d8-bfdb-cff3c8d34a3a,P008,29
77f94df1-56b5-44d2-bda2-53c25917928c,487dc5c4-45e0-4f85-b733-2c15153dc010,P009,30
722c970c-05b3-40d1-ae7d-85d6b2f3c2bf,487dc5c4-45e0-4f85-b733-2c15153dc010,P010,10
